	past simple	imprf. comp.	gerund	compound gerund	jussive/imperative	n. past simple	n. imperfective	n. imperative/jussive
	አመፀች	ታምፃለች	አምፃ	አምፃለች	ታመፅ	አላመፀችም	አታምፅም	አታመፅ
	አመፅን	እናምፃለን	አምፀን	አምፀናል	እናመፅ	አላመፅንም	አናምፅም	አናመፅ
	አመፃችሁ	ታምፃላችሁ	አምፃችሁ	አምፃችኋል	አመፁ	አላመፃችሁም	አታምፁም	አታመፁ
	አመፁ	ያምፃሉ	አምፀው	አምፀዋል	ያመፁ	አላመፁም	አያምፁም	አያመፁ
	mammäṣ							
	ammäṣku	amməṣallähu	amməč̣č̣e	amməč̣č̣eyallähu	lamməṣ	alammäṣkumm	alamməṣəmm	alamməṣ
	ammäṣk	tamməṣalläh	amməṣäh	amməṣähall	amməṣ	alammäṣkəmm	atamməṣəmm	attamməṣ
	ammäṣš	tamməč̣iyalläš	amməṣäš	amməṣäšall	amməč̣i	alammäṣšəmm	atamməč̣imm	attamməč̣i
	ammäṣä	yamməṣall	amməṣo	amməṣwall	yamməṣ	alammäṣämm	ayamməṣəmm	ayamməṣ
	ammäṣäčč	tamməṣalläčč	amməṣa	amməṣalläčč	tamməṣ	alammäṣäččəmm	atamməṣəmm	attamməṣ
	ammäṣn	ənnamməṣallän	amməṣän	amməṣänall	ənnamməṣ	alammäṣnəmm	anamməṣəmm	annamməṣ
	ammäṣaččəhu	tamməṣallaččəhu	amməṣaččəhu	amməṣaččhwall	amməṣ	alammäṣaččəhumm	atamməṣumm	attamməṣu
	ammäṣu	yamməṣallu	amməṣäw	amməṣäwall	yamməṣ	alammäṣumm	ayamməṣumm	ayamməṣu
አሸገ - seal, glue	ማሸግ							
	አሸግኩ	አሽጋለሁ	አሽጌ	አሽጌያለሁ	ላሸግ	አላሸግኩም	አላሽግም	አላሸግ
	አሸግክ	ታሽጋለህ	አሽገህ	አሽገሃል	አሸግ	አላሸግክም	አታሽግም	አታሸግ
	አሸግሽ	ታሽጊያለሽ	አሽገሽ	አሽገሻል	አሸጊ	አላሸግሽም	አታሽጊም	አታሸጊ
	አሸገ	ያሽጋል	አሽጎ	አሽጓል	ያሸግ	አላሸገም	አያሽግም	አያሸግ
	አሸገች	ታሽጋለች	አሽጋ	አሽጋለች	ታሸግ	አላሸገችም	አታሽግም	አታሸግ
	አሸግን	እናሽጋለን	አሽገን	አሽገናል	እናሸግ	አላሸግንም	አናሽግም	አናሸግ
	አሸጋችሁ	ታሽጋላችሁ	አሽጋችሁ	አሽጋችኋል	አሸጉ	አላሸጋችሁም	አታሽጉም	አታሸጉ
	አሸጉ	ያሽጋሉ	አሽገው	አሽገዋል	ያሸጉ	አላሸጉም	አያሽጉም	አያሸጉ
	maššäg							
	aššägku	aššəgallähu	aššəgge	aššəggeyallähu	laššəg	alaššägkumm	alaššəgəmm	alaššəg
	aššägk	taššəgalläh	aššəgäh	aššəgähall	aššəg	alaššägkəmm	ataššəgəmm	attaššəg
	aššägš	taššəgiyalläš	aššəgäš	aššəgäšall	aššəgi	alaššägšəmm	ataššəgimm	attaššəgi
	aššägä	yaššəgall	aššəgo	aššəgwall	yaššəg	alaššägämm	ayaššəgəmm	ayaššəg
	aššägäčč	taššəgalläčč	aššəga	aššəgalläčč	taššəg	alaššägäččəmm	ataššəgəmm	attaššəg
	aššägn	ənnaššəgallän	aššəgän	aššəgänall	ənnaššəg	alaššägnəmm	anaššəgəmm	annaššəg
	aššägaččəhu	taššəgallaččəhu	aššəgaččəhu	aššəgaččhwall	aššəg	alaššägaččəhumm	ataššəgumm	attaššəgu
	aššägu	yaššəgallu	aššəgäw	aššəgäwall	yaššəg	alaššägumm	ayaššəgumm	ayaššəgu
								
አቀደ - plan, design	ማቀድ							
	አቀድኩ	አቅዳለሁ	አቅጄ	አቅጄያለሁ	ላቀድ	አላቀድኩም	አላቅድም	አላቀድ
	አቀድክ	ታቅዳለህ	አቅደህ	አቅደሃል	አቀድ	አላቀድክም	አታቅድም	አታቀድ
	አቀድሽ	ታቅጂያለሽ	አቅደሽ	አቅደሻል	አቀጅ	አላቀድሽም	አታቅጂም	አታቀጅ
	አቀደ	ያቅዳል	አቅዶ	አቅዷል	ያቀድ	አላቀደም	አያቅድም	አያቀድ
	አቀደች	ታቅዳለች	አቅዳ	አቅዳለች	ታቀድ	አላቀደችም	አታቅድም	አታቀድ
	አቀድን	እናቅዳለን	አቅደን	አቅደናል	እናቀድ	አላቀድንም	አናቅድም	አናቀድ
	አቀዳችሁ	ታቅዳላችሁ	አቅዳችሁ	አቅዳችኋል	አቀዱ	አላቀዳችሁም	አታቅዱም	አታቀዱ
	አቀዱ	ያቅዳሉ	አቅደው	አቅደዋል	ያቀዱ	አላቀዱም	አያቅዱም	አያቀዱ
	maqqäd							
	aqqädku	aqqədallähu	aqqədde	aqqəddeyallähu	laqqəd	alaqqädkumm	alaqqədəmm	alaqqəd
	aqqädk	taqqədalläh	aqqədäh	aqqədähall	aqqəd	alaqqädkəmm	ataqqədəmm	attaqqəd
	aqqädš	taqqədiyalläš	aqqədäš	aqqədäšall	aqqədi	alaqqädšəmm	ataqqədimm	attaqqədi
	aqqädä	yaqqədall	aqqədo	aqqədwall	yaqqəd	alaqqädämm	ayaqqədəmm	ayaqqəd
	aqqädäčč	taqqədalläčč	aqqəda	aqqədalläčč	taqqəd	alaqqädäččəmm	ataqqədəmm	attaqqəd
	aqqädn	ənnaqqədallän	aqqədän	aqqədänall	ənnaqqəd	alaqqädnəmm	anaqqədəmm	annaqqəd
	aqqädaččəhu	taqqədallaččəhu	aqqədaččəhu	aqqədaččhwall	aqqəd	alaqqädaččəhumm	ataqqədumm	attaqqədu
	aqqädu	yaqqədallu	aqqədäw	aqqədäwall	yaqqəd	alaqqädumm	ayaqqədumm	ayaqqədu
አበረ - unite	ማበር							
	አበርኩ	አብራለሁ	አብሬ	አብሬያለሁ	ላበር	አላበርኩም	አላብርም	አላበር
	አበርክ	ታብራለህ	አብረህ	አብረሃል	አበር	አላበርክም	አታብርም	አታበር
	አበርሽ	ታብሪያለሽ	አብረሽ	አብረሻል	አበሪ	አላበርሽም	አታብሪም	አታበሪ
	አበረ	ያብራል	አብሮ	አብሯል	ያበር	አላበረም	አያብርም	አያበር
	አበረች	ታብራለች	አብራ	አብራለች	ታበር	አላበረችም	አታብርም	አታበር
	አበርን	እናብራለን	አብረን	አብረናል	እናበር	አላበርንም	አናብርም	አናበር
	አበራችሁ	ታብራላችሁ	አብራችሁ	አብራችኋል	አበሩ	አላበራችሁም	አታብሩም	አታበሩ
	አበሩ	ያብራሉ	አብረው	አብረዋል	ያበሩ	አላበሩም	አያብሩም	አያበሩ
	mabbär							
	abbärku	abbərallähu	abbərre	abbərreyallähu	labbər	alabbärkumm	alabbərəmm	alabbər
	abbärk	tabbəralläh	abbəräh	abbərähall	abbər	alabbärkəmm	atabbərəmm	attabbər
	abbärš	tabbəriyalläš	abbəräš	abbəräšall	abbəri	alabbäršəmm	atabbərimm	attabbəri
	abbärä	yabbərall	abbəro	abbərwall	yabbər	alabbärämm	ayabbərəmm	ayabbər
	abbäräčč	tabbəralläčč	abbəra	abbəralläčč	tabbər	alabbäräččəmm	atabbərəmm	attabbər
	abbärn	ənnabbərallän	abbərän	abbəränall	ənnabbər	alabbärnəmm	anabbərəmm	annabbər
	abbäraččəhu	tabbərallaččəhu	abbəraččəhu	abbəraččhwall	abbər	alabbäraččəhumm	atabbərumm	attabbəru
	abbäru	yabbərallu	abbəräw	abbəräwall	yabbər	alabbärumm	ayabbərumm	ayabbəru
