	past simple	imprf. comp.	gerund	compound gerund	jussive/imperative	n. past simple	n. imperfective	n. imperative/jussive
	አደምሽ	ታድሚያለሽ	አድመሽ	አድመሻል	አደሚ	አላደምሽም	አታድሚም	አታደሚ
	አደመ	ያድማል	አድሞ	አድሟል	ያደም	አላደመም	አያድምም	አያደም
	አደመች	ታድማለች	አድማ	አድማለች	ታደም	አላደመችም	አታድምም	አታደም
	አደምን	እናድማለን	አድመን	አድመናል	እናደም	አላደምንም	አናድምም	አናደም
	አደማችሁ	ታድማላችሁ	አድማችሁ	አድማችኋል	አደሙ	አላደማችሁም	አታድሙም	አታደሙ
	አደሙ	ያድማሉ	አድመው	አድመዋል	ያደሙ	አላደሙም	አያድሙም	አያደሙ
	maddäm							
	addämku	addəmallähu	addəmme	addəmmeyallähu	laddəm	aladdämkumm	aladdəməmm	aladdəm
	addämk	taddəmalläh	addəmäh	addəmähall	addəm	aladdämkəmm	ataddəməmm	attaddəm
	addämš	taddəmiyalläš	addəmäš	addəmäšall	addəmi	aladdämšəmm	ataddəmimm	attaddəmi
	addämä	yaddəmall	addəmo	addəmwall	yaddəm	aladdämämm	ayaddəməmm	ayaddəm
	addämäčč	taddəmalläčč	addəma	addəmalläčč	taddəm	aladdämäččəmm	ataddəməmm	attaddəm
	addämn	ənnaddəmallän	addəmän	addəmänall	ənnaddəm	aladdämnəmm	anaddəməmm	annaddəm
	addämaččəhu	taddəmallaččəhu	addəmaččəhu	addəmaččhwall	addəm	aladdämaččəhumm	ataddəmumm	attaddəmu
	addämu	yaddəmallu	addəmäw	addəmäwall	yaddəm	aladdämumm	ayaddəmumm	ayaddəmu
አገደ - ban	ማገድ							
	አገድኩ	አግዳለሁ	አግጄ	አግጄያለሁ	ላገድ	አላገድኩም	አላግድም	አላገድ
	አገድክ	ታግዳለህ	አግደህ	አግደሃል	አገድ	አላገድክም	አታግድም	አታገድ
	አገድሽ	ታግጂያለሽ	አግደሽ	አግደሻል	አገጅ	አላገድሽም	አታግጂም	አታገጅ
	አገደ	ያግዳል	አግዶ	አግዷል	ያገድ	አላገደም	አያግድም	አያገድ
	አገደች	ታግዳለች	አግዳ	አግዳለች	ታገድ	አላገደችም	አታግድም	አታገድ
	አገድን	እናግዳለን	አግደን	አግደናል	እናገድ	አላገድንም	አናግድም	አናገድ
	አገዳችሁ	ታግዳላችሁ	አግዳችሁ	አግዳችኋል	አገዱ	አላገዳችሁም	አታግዱም	አታገዱ
	አገዱ	ያግዳሉ	አግደው	አግደዋል	ያገዱ	አላገዱም	አያግዱም	አያገዱ
	maggäd							
	aggädku	aggədallähu	aggədde	aggəddeyallähu	laggəd	alaggädkumm	alaggədəmm	alaggəd
	aggädk	taggədalläh	aggədäh	aggədähall	aggəd	alaggädkəmm	ataggədəmm	attaggəd
	aggädš	taggədiyalläš	aggədäš	aggədäšall	aggədi	alaggädšəmm	ataggədimm	attaggədi
	aggädä	yaggədall	aggədo	aggədwall	yaggəd	alaggädämm	ayaggədəmm	ayaggəd
	aggädäčč	taggədalläčč	aggəda	aggədalläčč	taggəd	alaggädäččəmm	ataggədəmm	attaggəd
	aggädn	ənnaggədallän	aggədän	aggədänall	ənnaggəd	alaggädnəmm	anaggədəmm	annaggəd
	aggädaččəhu	taggədallaččəhu	aggədaččəhu	aggədaččhwall	aggəd	alaggädaččəhumm	ataggədumm	attaggədu
	aggädu	yaggədallu	aggədäw	aggədäwall	yaggəd	alaggädumm	ayaggədumm	ayaggədu
አደነ - hunt	ማደን							
	አደንኩ	አድናለሁ	አድኜ	አድኜያለሁ	ላደን	አላደንኩም	አላድንም	አላደን
	አደንክ	ታድናለህ	አድነህ	አድነሃል	አደን	አላደንክም	አታድንም	አታደን
	አደንሽ	ታድኚያለሽ	አድነሽ	አድነሻል	አደኝ	አላደንሽም	አታድኚም	አታደኝ
	አደነ	ያድናል	አድኖ	አድኗል	ያደን	አላደነም	አያድንም	አያደን
	አደነች	ታድናለች	አድና	አድናለች	ታደን	አላደነችም	አታድንም	አታደን
	አደንን	እናድናለን	አድነን	አድነናል	እናደን	አላደንንም	አናድንም	አናደን
	አደናችሁ	ታድናላችሁ	አድናችሁ	አድናችኋል	አደኑ	አላደናችሁም	አታድኑም	አታደኑ
	አደኑ	ያድናሉ	አድነው	አድነዋል	ያደኑ	አላደኑም	አያድኑም	አያደኑ
	maddän							
	addänku	addənallähu	addəññe	addəññeyallähu	laddən	aladdänkumm	aladdənəmm	aladdən
	addänk	taddənalläh	addənäh	addənähall	addən	aladdänkəmm	ataddənəmm	attaddən
	addänš	taddəñiyalläš	addənäš	addənäšall	addəñi	aladdänšəmm	ataddəñimm	attaddəñi
	addänä	yaddənall	addəno	addənwall	yaddən	aladdänämm	ayaddənəmm	ayaddən
	addänäčč	taddənalläčč	addəna	addənalläčč	taddən	aladdänäččəmm	ataddənəmm	attaddən
	addänn	ənnaddənallän	addənän	addənänall	ənnaddən	aladdännəmm	anaddənəmm	annaddən
	addänaččəhu	taddənallaččəhu	addənaččəhu	addənaččhwall	addən	aladdänaččəhumm	ataddənumm	attaddənu
	addänu	yaddənallu	addənäw	addənäwall	yaddən	aladdänumm	ayaddənumm	ayaddənu
አገዘ - support, help	ማገዝ							
	አገዝኩ	አግዛለሁ	አግዤ	አግዤያለሁ	ላገዝ	አላገዝኩም	አላግዝም	አላገዝ
	አገዝክ	ታግዛለህ	አግዘህ	አግዘሃል	አገዝ	አላገዝክም	አታግዝም	አታገዝ
	አገዝሽ	ታግዢያለሽ	አግዘሽ	አግዘሻል	አገዥ	አላገዝሽም	አታግዢም	አታገዥ
	አገዘ	ያግዛል	አግዞ	አግ።ል	ያገዝ	አላገዘም	አያግዝም	አያገዝ
	አገዘች	ታግዛለች	አግዛ	አግዛለች	ታገዝ	አላገዘችም	አታግዝም	አታገዝ
	አገዝን	እናግዛለን	አግዘን	አግዘናል	እናገዝ	አላገዝንም	አናግዝም	አናገዝ
	አገዛችሁ	ታግዛላችሁ	አግዛችሁ	አግዛችኋል	አገዙ	አላገዛችሁም	አታግዙም	አታገዙ
	አገዙ	ያግዛሉ	አግዘው	አግዘዋል	ያገዙ	አላገዙም	አያግዙም	አያገዙ
	maggäz							
	aggäzku	aggəzallähu	aggəžže	aggəžžeyallähu	laggəz	alaggäzkumm	alaggəzəmm	alaggəz
	aggäzk	taggəzalläh	aggəzäh	aggəzähall	aggəz	alaggäzkəmm	ataggəzəmm	attaggəz
	aggäzš	taggəžiyalläš	aggəzäš	aggəzäšall	aggəži	alaggäzšəmm	ataggəžimm	attaggəži
	aggäzä	yaggəzall	aggəzo	aggəzwall	yaggəz	alaggäzämm	ayaggəzəmm	ayaggəz
	aggäzäčč	taggəzalläčč	aggəza	aggəzalläčč	taggəz	alaggäzäččəmm	ataggəzəmm	attaggəz
	aggäzn	ənnaggəzallän	aggəzän	aggəzänall	ənnaggəz	alaggäznəmm	anaggəzəmm	annaggəz
	aggäzaččəhu	taggəzallaččəhu	aggəzaččəhu	aggəzaččhwall	aggəz	alaggäzaččəhumm	ataggəzumm	attaggəzu
	aggäzu	yaggəzallu	aggəzäw	aggəzäwall	yaggəz	alaggäzumm	ayaggəzumm	ayaggəzu
አጀበ - accompany, escort	ማጀብ							
	አጀብኩ	አጅባለሁ	አጅቤ	አጅቤያለሁ	ላጀብ	አላጀብኩም	አላጅብም	አላጀብ
	አጀብክ	ታጅባለህ	አጅበህ	አጅበሃል	አጀብ	አላጀብክም	አታጅብም	አታጀብ
	አጀብሽ	ታጅቢያለሽ	አጅበሽ	አጅበሻል	አጀቢ	አላጀብሽም	አታጅቢም	አታጀቢ
	አጀበ	ያጅባል	አጅቦ	አጅቧል	ያጀብ	አላጀበም	አያጅብም	አያጀብ
	አጀበች	ታጅባለች	አጅባ	አጅባለች	ታጀብ	አላጀበችም	አታጅብም	አታጀብ
	አጀብን	እናጅባለን	አጅበን	አጅበናል	እናጀብ	አላጀብንም	አናጅብም	አናጀብ
	አጀባችሁ	ታጅባላችሁ	አጅባችሁ	አጅባችኋል	አጀቡ	አላጀባችሁም	አታጅቡም	አታጀቡ
	አጀቡ	ያጅባሉ	አጅበው	አጅበዋል	ያጀቡ	አላጀቡም	አያጅቡም	አያጀቡ
	maǧǧäb							
	aǧǧäbku	aǧǧəballähu	aǧǧəbbe	aǧǧəbbeyallähu	laǧǧəb	alaǧǧäbkumm	alaǧǧəbəmm	alaǧǧəb
	aǧǧäbk	taǧǧəballäh	aǧǧəbäh	aǧǧəbähall	aǧǧəb	alaǧǧäbkəmm	ataǧǧəbəmm	attaǧǧəb
	aǧǧäbš	taǧǧəbiyalläš	aǧǧəbäš	aǧǧəbäšall	aǧǧəbi	alaǧǧäbšəmm	ataǧǧəbimm	attaǧǧəbi
	aǧǧäbä	yaǧǧəball	aǧǧəbo	aǧǧəbwall	yaǧǧəb	alaǧǧäbämm	ayaǧǧəbəmm	ayaǧǧəb
	aǧǧäbäčč	taǧǧəballäčč	aǧǧəba	aǧǧəballäčč	taǧǧəb	alaǧǧäbäččəmm	ataǧǧəbəmm	attaǧǧəb
	aǧǧäbn	ənnaǧǧəballän	aǧǧəbän	aǧǧəbänall	ənnaǧǧəb	alaǧǧäbnəmm	anaǧǧəbəmm	annaǧǧəb
	aǧǧäbaččəhu	taǧǧəballaččəhu	aǧǧəbaččəhu	aǧǧəbaččhwall	aǧǧəb	alaǧǧäbaččəhumm	ataǧǧəbumm	attaǧǧəbu
	aǧǧäbu	yaǧǧəballu	aǧǧəbäw	aǧǧəbäwall	yaǧǧəb	alaǧǧäbumm	ayaǧǧəbumm	ayaǧǧəbu
